,edad,Valoración_actual,Progresión,precio,Ataque,Regate,Aceleración,Potencia_tiro,Agresividad,Defensa,Portería,Cluster
84,19,69,82,3100000,41,54,63,59,64,70,9,1
85,21,69,80,3200000,50,72,79,71,51,14,7,0
86,19,69,81,3100000,31,54,53,54,69,69,12,1
90,21,69,80,3000000,69,69,72,60,61,65,13,1
91,20,69,80,3100000,57,73,83,63,52,42,7,0
92,20,69,80,3100000,60,75,83,65,54,38,11,0
93,20,69,82,3300000,59,71,81,60,80,59,14,1
94,20,69,80,3100000,36,68,78,72,41,22,14,0
95,19,69,82,3100000,30,58,65,41,70,70,14,1
96,18,69,80,2800000,67,67,77,60,67,64,10,1
97,18,69,84,3200000,66,73,76,66,48,31,13,0
98,21,69,80,3200000,59,70,71,69,56,31,13,0
99,19,69,81,3300000,59,74,86,62,57,25,9,0
101,21,69,80,3100000,65,76,84,52,39,35,7,0
103,21,69,80,3200000,37,69,64,74,52,28,14,0
104,18,69,84,3000000,51,60,70,45,67,66,15,1
105,19,69,83,3300000,63,76,78,66,62,46,6,0
106,21,69,80,3100000,70,72,66,63,49,41,7,0
107,20,69,81,3200000,51,62,73,57,72,63,9,1
108,21,69,80,3100000,65,73,76,62,58,70,10,1
110,20,68,83,2700000,58,60,67,48,68,65,7,1
111,19,68,83,2900000,56,73,74,71,64,47,11,1
112,18,68,84,3100000,57,75,91,68,48,18,11,0
113,19,68,80,2900000,45,70,81,65,50,23,9,0
114,21,68,80,3000000,55,67,74,69,81,65,7,1
115,21,68,80,3000000,60,70,84,68,55,30,12,0
116,19,68,81,2900000,60,71,89,66,34,21,9,0
117,18,68,82,2600000,52,63,66,53,68,64,6,1
118,17,68,81,2700000,58,69,71,68,69,61,10,1
119,20,68,80,2900000,42,59,59,66,62,23,14,0
120,17,68,85,3000000,51,74,78,62,66,57,8,1
121,18,68,81,2800000,35,64,65,67,72,34,6,0
122,20,68,80,2700000,33,39,66,45,64,70,6,1
124,19,68,81,2700000,65,65,76,61,64,56,7,1
125,20,68,80,2700000,33,54,66,48,69,66,8,1
126,20,68,80,2700000,25,24,54,32,64,66,14,1
127,18,68,83,2600000,44,62,75,63,65,62,7,1
128,20,68,80,2900000,65,75,83,73,55,30,10,0
129,21,68,81,3000000,50,73,75,67,67,71,14,1
130,18,68,85,3100000,54,74,83,60,40,19,13,0
131,19,68,82,2700000,65,67,83,52,74,60,9,1
132,17,68,83,2600000,67,71,83,53,47,64,5,1
134,19,68,80,2700000,72,66,68,72,66,61,9,1
135,20,68,80,2900000,65,68,65,70,38,47,8,0
136,18,68,82,2800000,54,70,76,74,59,28,8,0
137,20,68,80,2800000,50,60,55,63,65,64,8,1
138,18,68,81,2600000,35,35,65,45,65,70,10,1
139,19,68,81,2900000,61,71,74,68,50,31,8,0
140,19,68,81,2900000,42,71,78,58,57,24,11,0
141,21,68,80,2800000,28,44,55,45,68,68,14,1
142,21,68,80,2600000,18,19,60,47,28,12,70,2
143,20,68,80,2900000,66,73,76,59,45,22,9,0
144,20,68,80,2900000,71,68,82,62,29,17,9,0
145,18,68,82,2800000,55,68,71,69,62,42,10,0
146,18,68,82,2800000,67,74,79,69,55,21,11,0
147,19,68,81,2900000,65,75,83,65,40,27,5,0
148,18,68,81,2700000,66,71,75,60,68,58,8,1
149,19,67,82,2300000,36,50,68,47,58,60,10,1
150,18,67,82,2400000,65,76,81,69,45,45,7,0
151,18,67,81,2200000,44,61,61,52,71,66,7,1
152,17,67,82,2300000,50,70,85,68,63,30,9,0
153,18,67,83,2500000,62,76,74,57,64,58,12,1
154,18,67,85,2600000,64,73,79,56,46,37,9,0
155,20,67,80,2500000,45,64,75,68,63,19,13,0
156,19,67,84,2500000,36,38,63,49,63,70,7,1
157,19,67,80,2300000,64,64,82,42,64,57,13,1
158,19,67,81,2400000,66,70,77,60,73,55,5,1
159,19,67,80,2400000,52,75,88,61,36,16,9,0
160,19,67,80,2400000,53,78,82,64,62,25,13,0
161,19,67,83,2600000,68,70,71,62,41,47,12,0
162,18,67,82,2400000,64,74,77,60,33,11,14,0
163,19,67,83,2500000,30,37,58,46,64,62,10,1
164,17,67,83,2500000,66,70,75,61,46,15,6,0
165,19,67,80,2300000,35,31,68,56,64,67,13,1
166,18,67,82,2400000,40,65,69,66,40,17,13,0
167,19,67,81,2400000,62,72,68,78,57,49,12,0
168,19,67,83,2500000,50,50,72,42,68,64,13,1
170,19,67,80,2400000,58,72,85,63,30,24,7,0
171,21,67,82,2500000,58,69,72,73,65,53,13,1
172,19,67,80,2300000,58,66,69,58,60,64,13,1
173,20,67,82,2300000,60,70,74,59,60,67,6,1
174,21,67,80,2400000,56,56,71,45,64,68,7,1
175,18,67,80,2400000,50,67,81,66,47,22,6,0
176,19,67,82,2400000,40,67,79,66,49,18,10,0
177,19,67,84,2500000,50,53,65,62,74,65,5,1
178,18,67,84,2600000,60,76,77,68,63,57,7,1
179,19,67,81,2400000,43,57,73,72,66,24,7,0
180,20,67,83,2700000,50,76,81,70,51,18,7,0
181,20,67,80,2500000,37,68,68,64,40,24,13,0
182,18,67,83,2600000,41,72,77,71,33,20,13,0
183,19,67,82,2300000,66,65,76,63,55,62,14,1
184,18,67,83,2500000,64,70,80,60,45,65,10,1
185,19,67,84,2500000,76,77,67,68,55,54,11,1
186,20,67,81,2500000,58,70,70,71,59,43,6,0
187,18,67,82,2300000,68,59,70,62,59,63,15,1
189,19,67,85,2600000,59,71,76,69,50,48,7,0
190,19,66,82,2100000,42,57,74,54,66,64,11,1
191,19,66,80,2000000,51,62,63,72,68,54,8,1
193,20,66,80,2100000,63,71,73,61,40,40,9,0
194,18,66,80,2000000,62,70,88,60,44,38,14,0
195,19,66,82,2200000,59,69,72,69,51,41,12,0
196,19,66,80,1900000,64,68,79,62,65,54,11,1
197,18,66,80,1900000,57,64,69,38,63,63,9,1
198,18,66,80,2000000,58,69,76,59,40,21,5,0
199,19,66,80,2000000,61,67,62,60,52,50,13,1
200,20,66,80,2100000,63,68,87,73,58,32,6,0
201,17,66,84,2100000,52,66,79,58,47,35,13,0
202,19,66,82,2200000,58,67,77,52,70,53,7,1
203,20,66,81,1900000,43,36,69,45,51,65,12,1
204,16,66,86,2300000,69,73,70,60,34,38,13,0
205,18,66,82,2200000,59,71,68,58,60,55,9,1
206,19,66,80,1900000,57,70,79,30,56,53,10,1
207,18,66,84,2200000,62,70,76,70,43,40,7,0
208,19,66,81,2000000,36,60,67,74,59,21,8,0
209,17,66,80,1900000,59,56,76,26,58,63,6,1
210,20,66,80,2000000,70,68,67,70,60,62,11,1
211,16,66,86,2300000,66,71,79,56,40,40,14,0
212,18,66,87,2700000,57,73,83,62,31,24,14,0
213,19,66,80,2000000,66,64,66,67,66,59,11,1
214,20,66,80,2000000,65,64,81,52,59,57,11,1
215,17,66,84,2100000,64,70,75,61,47,53,9,1
216,19,66,80,1900000,46,52,69,47,58,65,12,1
217,19,66,80,2000000,60,71,71,54,52,42,11,0
218,20,66,80,2100000,63,65,74,65,59,57,7,1
221,20,66,80,2100000,27,67,69,62,35,13,8,0
222,20,66,81,2100000,63,72,79,67,28,25,6,0
223,19,66,80,2000000,53,66,70,64,70,58,8,1
224,17,66,84,2000000,34,32,55,44,67,64,6,1
225,18,66,80,2000000,62,64,85,55,52,32,9,0
226,20,66,80,2100000,32,66,62,71,60,19,12,0
227,18,66,84,2200000,58,70,83,62,28,23,7,0
228,17,65,82,1800000,61,70,64,57,67,52,11,1
229,18,65,80,1600000,63,63,73,47,53,65,12,1
230,18,65,83,1800000,62,64,71,69,70,54,9,1
231,18,65,82,1800000,56,68,88,59,30,25,13,0
232,21,65,80,1700000,43,53,65,60,61,64,7,1
233,19,65,80,1700000,50,70,78,59,50,42,12,0
234,16,65,85,1900000,56,73,83,56,35,20,6,0
235,19,65,80,1700000,64,68,82,59,50,32,9,0
236,20,65,80,1700000,57,71,85,67,44,27,12,0
237,18,65,82,1800000,57,68,75,68,40,28,8,0
238,17,65,80,1600000,42,62,82,66,53,22,14,0
239,17,65,82,1700000,60,61,74,24,61,57,7,1
240,17,65,81,1600000,14,13,44,47,39,14,65,2
241,17,65,85,1900000,52,68,74,69,52,54,10,1
242,19,65,80,1600000,47,61,70,42,67,64,6,1
243,19,65,80,1500000,13,13,33,47,20,10,65,2
244,19,65,81,1600000,12,14,40,48,23,10,66,2
245,19,65,80,1700000,60,62,69,59,69,56,7,1
246,19,65,81,1700000,29,45,65,40,63,57,12,1
247,19,65,81,1800000,52,74,71,64,44,38,11,0
248,18,65,80,1600000,46,61,73,53,81,58,5,1
250,17,65,83,1700000,58,67,75,50,42,60,7,1
251,17,65,85,1900000,47,63,69,67,58,33,12,0
252,19,65,80,1700000,65,67,74,63,36,27,7,0
253,17,65,81,1700000,40,39,64,50,55,67,14,1
254,18,65,80,1600000,56,68,77,38,77,54,13,1
255,17,65,82,1700000,39,38,66,53,66,66,8,1
256,18,65,81,1800000,61,68,84,68,61,28,7,0
257,20,65,80,1700000,59,72,92,61,35,29,9,0
258,16,65,83,1700000,46,65,63,58,65,65,9,1
259,19,65,80,1700000,60,68,67,55,47,42,8,0
260,18,65,82,1700000,33,46,54,39,66,65,11,1
261,17,65,81,1800000,49,66,72,63,62,62,13,1
262,18,65,82,1800000,56,67,78,64,61,50,14,1
263,17,65,82,1600000,14,13,52,49,23,8,66,2
264,18,65,80,1700000,53,67,67,55,48,28,11,0
265,19,65,80,1700000,44,60,67,73,68,40,10,1
266,18,65,82,1800000,56,70,81,55,33,28,14,0
267,18,65,81,1800000,35,64,75,68,70,18,8,0
268,18,65,85,2000000,70,74,69,66,33,28,15,0
269,19,65,81,1900000,52,65,71,63,64,37,10,0
270,19,65,80,1700000,67,60,84,76,70,52,6,1
271,19,65,82,1800000,54,70,71,64,48,45,13,0
272,17,65,81,1800000,59,69,75,66,31,22,11,0
274,19,65,80,1700000,49,66,70,65,58,56,10,1
275,19,65,83,1800000,67,73,78,61,41,28,7,0
276,18,65,80,1700000,60,66,78,63,45,31,9,0
277,18,64,81,1500000,58,68,77,67,46,31,14,0
278,18,64,80,1400000,62,61,80,59,52,57,9,1
279,18,64,80,1400000,47,63,74,57,71,57,9,1
280,19,64,81,1500000,53,67,69,61,54,47,6,1
281,19,64,80,1500000,50,61,78,65,36,28,7,0
282,16,64,81,1400000,55,70,70,39,52,61,14,1
283,17,64,81,1500000,30,63,72,61,68,18,9,0
284,17,64,86,1800000,53,71,67,56,58,43,12,1
285,19,64,81,1400000,25,63,60,40,61,67,7,1
286,18,64,81,1500000,58,68,69,67,51,46,6,0
287,16,64,81,1500000,37,64,69,62,30,18,13,0
288,17,64,85,1800000,51,67,71,56,63,59,14,1
289,19,64,80,1500000,50,66,75,63,63,61,12,1
290,18,64,81,1500000,60,73,71,54,52,29,6,0
291,17,64,81,1500000,46,68,72,61,40,40,10,0
292,18,64,80,1500000,60,70,75,68,50,28,8,0
293,18,64,81,1500000,64,74,75,65,40,31,13,0
294,17,64,80,1500000,59,67,70,58,48,56,10,1
295,18,64,83,1500000,58,63,77,66,50,19,13,0
296,18,64,80,1400000,55,49,74,31,65,65,13,1
297,18,64,82,1500000,52,68,86,63,55,20,14,0
298,18,64,81,1500000,54,65,77,63,55,43,10,0
299,19,64,80,1500000,39,63,68,70,43,12,9,0
300,19,64,81,1400000,42,48,59,55,61,58,9,1
301,17,64,83,1500000,48,68,81,65,46,26,11,0
302,18,64,84,1600000,59,63,81,69,59,43,8,0
303,17,64,81,1500000,59,72,73,62,43,44,10,0
304,17,64,82,1500000,52,67,77,60,33,16,8,0
305,17,64,84,1600000,31,63,67,68,33,15,11,0
306,17,64,83,1500000,51,71,73,54,37,38,14,0
307,18,64,84,1600000,62,67,72,54,70,50,9,1
308,16,64,84,1600000,53,71,80,71,44,21,12,0
309,19,64,80,1500000,53,68,85,60,67,23,9,0
310,18,64,80,1500000,64,74,69,71,47,29,6,0
311,19,64,80,1500000,53,67,74,66,41,20,10,0
312,19,64,81,1500000,57,65,79,62,36,35,6,0
313,19,64,80,1400000,68,70,67,69,62,62,13,1
314,18,64,80,1500000,56,69,88,66,40,15,12,0
315,19,64,80,1500000,53,66,66,70,51,39,11,0
317,17,64,86,1800000,43,61,74,63,57,17,12,0
318,18,64,80,1500000,36,65,65,66,61,34,13,0
319,19,64,81,1500000,61,69,77,61,40,50,7,0
320,16,64,84,1600000,62,67,82,60,48,29,11,0
321,19,64,80,1500000,60,66,68,52,57,54,6,1
322,18,64,80,1400000,46,67,76,51,62,55,6,1
323,18,64,84,1600000,42,60,69,69,64,19,8,0
324,17,64,80,1400000,35,57,65,32,64,63,9,1
325,17,64,83,1500000,59,68,69,66,55,32,15,0
327,18,63,82,1200000,61,67,75,65,49,42,14,0
329,17,63,80,1200000,55,70,65,66,43,45,11,0
330,17,63,83,1300000,56,62,71,41,71,57,8,1
331,17,63,81,1200000,64,67,55,57,54,47,8,1
332,17,63,80,1200000,48,64,74,64,57,51,7,1
333,17,63,80,1200000,50,71,78,67,67,54,14,1
337,18,63,83,1300000,51,63,81,60,31,17,6,0
339,18,63,80,1200000,51,66,83,57,49,30,7,0
340,17,63,84,1500000,61,62,83,57,46,18,6,0
341,17,63,80,1200000,53,63,66,61,66,55,14,1
342,18,63,80,1200000,60,68,67,61,51,45,7,0
343,19,63,81,1200000,55,66,79,57,31,28,15,0
344,18,63,81,1200000,60,67,70,45,46,60,12,1
345,17,63,83,1300000,58,65,77,54,42,44,12,0
346,17,63,83,1300000,61,72,77,70,35,28,10,0
347,16,63,83,1300000,54,75,81,68,37,37,12,0
349,18,63,82,1200000,38,61,76,62,40,22,6,0
351,16,63,83,1300000,42,61,68,63,45,20,6,0
352,17,63,81,1200000,48,60,83,73,44,23,6,0
353,17,63,80,1200000,45,63,78,62,37,18,8,0
354,18,63,83,1300000,55,63,72,57,60,56,10,1
362,17,62,84,1200000,52,64,70,58,62,33,7,0
364,17,62,85,1200000,56,73,74,48,71,31,7,0
368,16,62,85,1200000,58,64,71,60,56,55,7,1
371,16,62,85,1200000,49,69,69,58,45,45,6,0
374,17,62,85,1200000,40,55,56,55,66,60,7,1
