,edad,Valoración_actual,Progresión,precio,Ataque,Regate,Aceleración,Potencia_tiro,Agresividad,Defensa,Portería
71,21,69,80,2900000,28,61,58,59,68,71,13
72,19,69,83,3300000,60,76,84,68,38,20,8
73,21,69,81,3200000,56,69,73,58,81,61,5
74,19,69,81,3100000,56,72,72,59,65,64,8
75,20,69,80,2900000,58,70,68,64,65,62,14
76,19,69,83,3300000,63,73,90,64,40,44,5
77,19,69,80,3000000,66,71,72,65,50,39,9
78,17,69,85,3300000,67,71,75,43,60,62,13
79,21,69,80,3100000,53,75,80,58,52,50,8
80,20,69,80,3100000,61,74,90,77,70,59,6
81,21,69,83,3000000,21,23,51,48,35,19,70
82,18,69,81,3300000,62,72,75,66,72,44,9
83,20,69,80,2900000,53,63,53,56,72,66,12
84,19,69,82,3100000,41,54,63,59,64,70,9
85,21,69,80,3200000,50,72,79,71,51,14,7
86,19,69,81,3100000,31,54,53,54,69,69,12
87,21,69,81,3400000,67,73,80,67,44,30,7
88,20,69,81,3400000,67,72,79,66,51,20,13
89,21,69,80,2700000,15,12,24,51,29,18,68
90,21,69,80,3000000,69,69,72,60,61,65,13
91,20,69,80,3100000,57,73,83,63,52,42,7
92,20,69,80,3100000,60,75,83,65,54,38,11
93,20,69,82,3300000,59,71,81,60,80,59,14
94,20,69,80,3100000,36,68,78,72,41,22,14
95,19,69,82,3100000,30,58,65,41,70,70,14
96,18,69,80,2800000,67,67,77,60,67,64,10
97,18,69,84,3200000,66,73,76,66,48,31,13
98,21,69,80,3200000,59,70,71,69,56,31,13
99,19,69,81,3300000,59,74,86,62,57,25,9
100,20,69,83,3400000,64,74,85,66,62,30,7
101,21,69,80,3100000,65,76,84,52,39,35,7
102,16,69,89,3800000,41,78,82,65,43,29,13
103,21,69,80,3200000,37,69,64,74,52,28,14
104,18,69,84,3000000,51,60,70,45,67,66,15
105,19,69,83,3300000,63,76,78,66,62,46,6
106,21,69,80,3100000,70,72,66,63,49,41,7
107,20,69,81,3200000,51,62,73,57,72,63,9
108,21,69,80,3100000,65,73,76,62,58,70,10
109,20,69,81,3400000,67,70,86,64,55,36,5
110,20,68,83,2700000,58,60,67,48,68,65,7
111,19,68,83,2900000,56,73,74,71,64,47,11
112,18,68,84,3100000,57,75,91,68,48,18,11
113,19,68,80,2900000,45,70,81,65,50,23,9
114,21,68,80,3000000,55,67,74,69,81,65,7
115,21,68,80,3000000,60,70,84,68,55,30,12
116,19,68,81,2900000,60,71,89,66,34,21,9
117,18,68,82,2600000,52,63,66,53,68,64,6
118,17,68,81,2700000,58,69,71,68,69,61,10
119,20,68,80,2900000,42,59,59,66,62,23,14
120,17,68,85,3000000,51,74,78,62,66,57,8
121,18,68,81,2800000,35,64,65,67,72,34,6
122,20,68,80,2700000,33,39,66,45,64,70,6
123,19,68,80,2700000,64,49,69,23,60,66,11
124,19,68,81,2700000,65,65,76,61,64,56,7
125,20,68,80,2700000,33,54,66,48,69,66,8
126,20,68,80,2700000,25,24,54,32,64,66,14
127,18,68,83,2600000,44,62,75,63,65,62,7
128,20,68,80,2900000,65,75,83,73,55,30,10
129,21,68,81,3000000,50,73,75,67,67,71,14
130,18,68,85,3100000,54,74,83,60,40,19,13
131,19,68,82,2700000,65,67,83,52,74,60,9
132,17,68,83,2600000,67,71,83,53,47,64,5
133,20,68,80,2500000,13,9,35,47,20,11,70
134,19,68,80,2700000,72,66,68,72,66,61,9
135,20,68,80,2900000,65,68,65,70,38,47,8
136,18,68,82,2800000,54,70,76,74,59,28,8
137,20,68,80,2800000,50,60,55,63,65,64,8
138,18,68,81,2600000,35,35,65,45,65,70,10
139,19,68,81,2900000,61,71,74,68,50,31,8
140,19,68,81,2900000,42,71,78,58,57,24,11
141,21,68,80,2800000,28,44,55,45,68,68,14
142,21,68,80,2600000,18,19,60,47,28,12,70
143,20,68,80,2900000,66,73,76,59,45,22,9
144,20,68,80,2900000,71,68,82,62,29,17,9
145,18,68,82,2800000,55,68,71,69,62,42,10
146,18,68,82,2800000,67,74,79,69,55,21,11
147,19,68,81,2900000,65,75,83,65,40,27,5
148,18,68,81,2700000,66,71,75,60,68,58,8
149,19,67,82,2300000,36,50,68,47,58,60,10
150,18,67,82,2400000,65,76,81,69,45,45,7
151,18,67,81,2200000,44,61,61,52,71,66,7
152,17,67,82,2300000,50,70,85,68,63,30,9
153,18,67,83,2500000,62,76,74,57,64,58,12
154,18,67,85,2600000,64,73,79,56,46,37,9
155,20,67,80,2500000,45,64,75,68,63,19,13
156,19,67,84,2500000,36,38,63,49,63,70,7
157,19,67,80,2300000,64,64,82,42,64,57,13
158,19,67,81,2400000,66,70,77,60,73,55,5
159,19,67,80,2400000,52,75,88,61,36,16,9
160,19,67,80,2400000,53,78,82,64,62,25,13
161,19,67,83,2600000,68,70,71,62,41,47,12
162,18,67,82,2400000,64,74,77,60,33,11,14
163,19,67,83,2500000,30,37,58,46,64,62,10
164,17,67,83,2500000,66,70,75,61,46,15,6
165,19,67,80,2300000,35,31,68,56,64,67,13
166,18,67,82,2400000,40,65,69,66,40,17,13
167,19,67,81,2400000,62,72,68,78,57,49,12
168,19,67,83,2500000,50,50,72,42,68,64,13
169,18,67,81,2100000,10,12,47,46,27,7,68
170,19,67,80,2400000,58,72,85,63,30,24,7
171,21,67,82,2500000,58,69,72,73,65,53,13
172,19,67,80,2300000,58,66,69,58,60,64,13
173,20,67,82,2300000,60,70,74,59,60,67,6
174,21,67,80,2400000,56,56,71,45,64,68,7
175,18,67,80,2400000,50,67,81,66,47,22,6
176,19,67,82,2400000,40,67,79,66,49,18,10
177,19,67,84,2500000,50,53,65,62,74,65,5
178,18,67,84,2600000,60,76,77,68,63,57,7
179,19,67,81,2400000,43,57,73,72,66,24,7
180,20,67,83,2700000,50,76,81,70,51,18,7
181,20,67,80,2500000,37,68,68,64,40,24,13
182,18,67,83,2600000,41,72,77,71,33,20,13
183,19,67,82,2300000,66,65,76,63,55,62,14
184,18,67,83,2500000,64,70,80,60,45,65,10
185,19,67,84,2500000,76,77,67,68,55,54,11
186,20,67,81,2500000,58,70,70,71,59,43,6
187,18,67,82,2300000,68,59,70,62,59,63,15
188,20,67,81,2100000,14,6,47,51,23,6,65
189,19,67,85,2600000,59,71,76,69,50,48,7
190,19,66,82,2100000,42,57,74,54,66,64,11
191,19,66,80,2000000,51,62,63,72,68,54,8
192,20,66,80,1800000,13,5,27,46,16,5,68
193,20,66,80,2100000,63,71,73,61,40,40,9
194,18,66,80,2000000,62,70,88,60,44,38,14
195,19,66,82,2200000,59,69,72,69,51,41,12
196,19,66,80,1900000,64,68,79,62,65,54,11
197,18,66,80,1900000,57,64,69,38,63,63,9
198,18,66,80,2000000,58,69,76,59,40,21,5
199,19,66,80,2000000,61,67,62,60,52,50,13
200,20,66,80,2100000,63,68,87,73,58,32,6
201,17,66,84,2100000,52,66,79,58,47,35,13
202,19,66,82,2200000,58,67,77,52,70,53,7
203,20,66,81,1900000,43,36,69,45,51,65,12
204,16,66,86,2300000,69,73,70,60,34,38,13
205,18,66,82,2200000,59,71,68,58,60,55,9
206,19,66,80,1900000,57,70,79,30,56,53,10
207,18,66,84,2200000,62,70,76,70,43,40,7
208,19,66,81,2000000,36,60,67,74,59,21,8
209,17,66,80,1900000,59,56,76,26,58,63,6
210,20,66,80,2000000,70,68,67,70,60,62,11
211,16,66,86,2300000,66,71,79,56,40,40,14
212,18,66,87,2700000,57,73,83,62,31,24,14
213,19,66,80,2000000,66,64,66,67,66,59,11
214,20,66,80,2000000,65,64,81,52,59,57,11
215,17,66,84,2100000,64,70,75,61,47,53,9
216,19,66,80,1900000,46,52,69,47,58,65,12
217,19,66,80,2000000,60,71,71,54,52,42,11
218,20,66,80,2100000,63,65,74,65,59,57,7
219,20,66,80,1800000,16,13,28,49,24,10,62
220,20,66,80,1800000,13,12,45,50,24,7,65
221,20,66,80,2100000,27,67,69,62,35,13,8
222,20,66,81,2100000,63,72,79,67,28,25,6
223,19,66,80,2000000,53,66,70,64,70,58,8
224,17,66,84,2000000,34,32,55,44,67,64,6
225,18,66,80,2000000,62,64,85,55,52,32,9
226,20,66,80,2100000,32,66,62,71,60,19,12
227,18,66,84,2200000,58,70,83,62,28,23,7
228,17,65,82,1800000,61,70,64,57,67,52,11
229,18,65,80,1600000,63,63,73,47,53,65,12
230,18,65,83,1800000,62,64,71,69,70,54,9
231,18,65,82,1800000,56,68,88,59,30,25,13
232,21,65,80,1700000,43,53,65,60,61,64,7
233,19,65,80,1700000,50,70,78,59,50,42,12
234,16,65,85,1900000,56,73,83,56,35,20,6
235,19,65,80,1700000,64,68,82,59,50,32,9
236,20,65,80,1700000,57,71,85,67,44,27,12
237,18,65,82,1800000,57,68,75,68,40,28,8
238,17,65,80,1600000,42,62,82,66,53,22,14
239,17,65,82,1700000,60,61,74,24,61,57,7
240,17,65,81,1600000,14,13,44,47,39,14,65
241,17,65,85,1900000,52,68,74,69,52,54,10
242,19,65,80,1600000,47,61,70,42,67,64,6
243,19,65,80,1500000,13,13,33,47,20,10,65
244,19,65,81,1600000,12,14,40,48,23,10,66
245,19,65,80,1700000,60,62,69,59,69,56,7
246,19,65,81,1700000,29,45,65,40,63,57,12
247,19,65,81,1800000,52,74,71,64,44,38,11
248,18,65,80,1600000,46,61,73,53,81,58,5
249,19,65,80,1500000,10,11,29,50,27,8,65
250,17,65,83,1700000,58,67,75,50,42,60,7
251,17,65,85,1900000,47,63,69,67,58,33,12
252,19,65,80,1700000,65,67,74,63,36,27,7
253,17,65,81,1700000,40,39,64,50,55,67,14
254,18,65,80,1600000,56,68,77,38,77,54,13
255,17,65,82,1700000,39,38,66,53,66,66,8
256,18,65,81,1800000,61,68,84,68,61,28,7
257,20,65,80,1700000,59,72,92,61,35,29,9
258,16,65,83,1700000,46,65,63,58,65,65,9
259,19,65,80,1700000,60,68,67,55,47,42,8
260,18,65,82,1700000,33,46,54,39,66,65,11
261,17,65,81,1800000,49,66,72,63,62,62,13
262,18,65,82,1800000,56,67,78,64,61,50,14
263,17,65,82,1600000,14,13,52,49,23,8,66
264,18,65,80,1700000,53,67,67,55,48,28,11
265,19,65,80,1700000,44,60,67,73,68,40,10
266,18,65,82,1800000,56,70,81,55,33,28,14
267,18,65,81,1800000,35,64,75,68,70,18,8
268,18,65,85,2000000,70,74,69,66,33,28,15
269,19,65,81,1900000,52,65,71,63,64,37,10
270,19,65,80,1700000,67,60,84,76,70,52,6
271,19,65,82,1800000,54,70,71,64,48,45,13
272,17,65,81,1800000,59,69,75,66,31,22,11
273,19,65,80,1500000,14,14,29,47,28,9,66
274,19,65,80,1700000,49,66,70,65,58,56,10
275,19,65,83,1800000,67,73,78,61,41,28,7
276,18,65,80,1700000,60,66,78,63,45,31,9
277,18,64,81,1500000,58,68,77,67,46,31,14
278,18,64,80,1400000,62,61,80,59,52,57,9
279,18,64,80,1400000,47,63,74,57,71,57,9
280,19,64,81,1500000,53,67,69,61,54,47,6
281,19,64,80,1500000,50,61,78,65,36,28,7
282,16,64,81,1400000,55,70,70,39,52,61,14
283,17,64,81,1500000,30,63,72,61,68,18,9
284,17,64,86,1800000,53,71,67,56,58,43,12
285,19,64,81,1400000,25,63,60,40,61,67,7
286,18,64,81,1500000,58,68,69,67,51,46,6
287,16,64,81,1500000,37,64,69,62,30,18,13
288,17,64,85,1800000,51,67,71,56,63,59,14
289,19,64,80,1500000,50,66,75,63,63,61,12
290,18,64,81,1500000,60,73,71,54,52,29,6
291,17,64,81,1500000,46,68,72,61,40,40,10
292,18,64,80,1500000,60,70,75,68,50,28,8
293,18,64,81,1500000,64,74,75,65,40,31,13
294,17,64,80,1500000,59,67,70,58,48,56,10
295,18,64,83,1500000,58,63,77,66,50,19,13
296,18,64,80,1400000,55,49,74,31,65,65,13
297,18,64,82,1500000,52,68,86,63,55,20,14
298,18,64,81,1500000,54,65,77,63,55,43,10
299,19,64,80,1500000,39,63,68,70,43,12,9
300,19,64,81,1400000,42,48,59,55,61,58,9
301,17,64,83,1500000,48,68,81,65,46,26,11
302,18,64,84,1600000,59,63,81,69,59,43,8
303,17,64,81,1500000,59,72,73,62,43,44,10
304,17,64,82,1500000,52,67,77,60,33,16,8
305,17,64,84,1600000,31,63,67,68,33,15,11
306,17,64,83,1500000,51,71,73,54,37,38,14
307,18,64,84,1600000,62,67,72,54,70,50,9
308,16,64,84,1600000,53,71,80,71,44,21,12
309,19,64,80,1500000,53,68,85,60,67,23,9
310,18,64,80,1500000,64,74,69,71,47,29,6
311,19,64,80,1500000,53,67,74,66,41,20,10
312,19,64,81,1500000,57,65,79,62,36,35,6
313,19,64,80,1400000,68,70,67,69,62,62,13
314,18,64,80,1500000,56,69,88,66,40,15,12
315,19,64,80,1500000,53,66,66,70,51,39,11
316,19,64,80,1300000,10,10,33,42,18,9,61
317,17,64,86,1800000,43,61,74,63,57,17,12
318,18,64,80,1500000,36,65,65,66,61,34,13
319,19,64,81,1500000,61,69,77,61,40,50,7
320,16,64,84,1600000,62,67,82,60,48,29,11
321,19,64,80,1500000,60,66,68,52,57,54,6
322,18,64,80,1400000,46,67,76,51,62,55,6
323,18,64,84,1600000,42,60,69,69,64,19,8
324,17,64,80,1400000,35,57,65,32,64,63,9
325,17,64,83,1500000,59,68,69,66,55,32,15
326,16,64,88,1700000,31,62,68,53,68,58,12
327,18,63,82,1200000,61,67,75,65,49,42,14
328,17,63,82,1100000,55,57,66,29,59,63,10
329,17,63,80,1200000,55,70,65,66,43,45,11
330,17,63,83,1300000,56,62,71,41,71,57,8
331,17,63,81,1200000,64,67,55,57,54,47,8
332,17,63,80,1200000,48,64,74,64,57,51,7
333,17,63,80,1200000,50,71,78,67,67,54,14
334,18,63,80,1100000,41,43,67,39,56,64,11
335,16,63,82,1100000,62,57,63,58,60,55,8
336,17,63,81,1100000,48,62,67,63,60,60,6
337,18,63,83,1300000,51,63,81,60,31,17,6
338,17,63,82,1100000,34,58,62,56,61,57,5
339,18,63,80,1200000,51,66,83,57,49,30,7
340,17,63,84,1500000,61,62,83,57,46,18,6
341,17,63,80,1200000,53,63,66,61,66,55,14
342,18,63,80,1200000,60,68,67,61,51,45,7
343,19,63,81,1200000,55,66,79,57,31,28,15
344,18,63,81,1200000,60,67,70,45,46,60,12
345,17,63,83,1300000,58,65,77,54,42,44,12
346,17,63,83,1300000,61,72,77,70,35,28,10
347,16,63,83,1300000,54,75,81,68,37,37,12
348,17,63,80,1100000,66,63,72,66,64,56,13
349,18,63,82,1200000,38,61,76,62,40,22,6
350,18,63,81,1100000,31,38,63,48,61,60,9
351,16,63,83,1300000,42,61,68,63,45,20,6
352,17,63,81,1200000,48,60,83,73,44,23,6
353,17,63,80,1200000,45,63,78,62,37,18,8
354,18,63,83,1300000,55,63,72,57,60,56,10
355,17,62,80,1000000,60,62,83,58,39,24,13
356,18,62,82,1000000,35,50,67,38,64,58,13
357,18,62,82,1100000,61,67,84,59,38,22,13
358,16,62,80,925000,45,51,39,73,60,59,10
359,17,62,82,1100000,52,65,91,52,32,24,8
360,18,62,81,950000,42,62,61,64,66,56,12
361,17,62,80,925000,27,32,64,37,58,62,8
362,17,62,84,1200000,52,64,70,58,62,33,7
363,18,62,80,950000,44,38,59,53,69,57,8
364,17,62,85,1200000,56,73,74,48,71,31,7
365,18,62,80,1000000,51,65,72,52,45,41,14
366,18,62,81,1000000,55,63,71,66,45,44,10
367,18,62,80,1000000,51,69,74,53,40,30,7
368,16,62,85,1200000,58,64,71,60,56,55,7
369,18,62,81,1000000,42,68,82,67,42,35,6
370,17,62,81,1000000,41,63,76,59,25,17,10
371,16,62,85,1200000,49,69,69,58,45,45,6
372,18,62,82,1100000,51,69,56,62,43,44,12
373,19,62,80,975000,30,40,71,36,60,64,14
374,17,62,85,1200000,40,55,56,55,66,60,7
375,17,62,80,925000,37,32,55,42,59,59,7
376,18,62,80,1000000,31,57,68,63,53,28,10
377,16,62,80,1000000,56,69,70,60,44,41,15
378,17,62,80,1000000,63,62,77,60,30,35,13
379,16,62,81,1000000,42,60,66,60,69,54,9
380,17,62,82,1000000,36,56,62,49,66,61,6
381,17,61,82,1000000,60,74,72,56,27,27,13
382,17,61,80,825000,58,62,72,59,40,40,14
383,16,61,84,1000000,53,64,77,55,38,22,13
384,17,61,83,1000000,42,70,53,53,37,31,9
385,17,61,81,900000,42,54,69,57,39,18,14
386,18,61,81,900000,52,65,65,69,64,54,9
387,18,61,81,850000,51,59,64,68,62,58,13
388,19,61,81,925000,37,65,69,67,43,34,13
389,18,61,82,1000000,59,57,76,42,57,54,10
390,17,61,80,825000,37,56,65,64,46,13,6
391,18,61,80,825000,54,59,73,59,43,41,5
392,18,60,80,675000,45,58,63,63,69,44,15
393,17,60,81,750000,59,63,62,33,54,52,11
394,16,60,82,775000,46,68,68,58,21,18,7
395,16,60,80,675000,33,62,63,55,55,22,14
396,17,60,81,775000,52,62,66,62,48,46,8
397,18,60,80,675000,49,62,87,64,50,30,10
398,16,60,81,725000,30,55,57,47,53,55,13
399,17,60,80,675000,49,64,69,60,52,49,15
400,17,60,80,675000,50,70,65,55,39,22,12
401,18,60,80,650000,39,39,63,47,57,55,8
402,16,60,85,775000,46,62,62,65,61,45,8
403,17,60,82,725000,44,44,83,33,56,53,12
404,16,59,82,700000,42,52,56,62,31,22,11
405,17,59,80,700000,62,70,67,40,32,25,7
406,16,59,82,700000,47,67,66,58,56,49,6
407,17,59,80,675000,54,68,86,55,34,53,13
408,16,59,80,700000,60,61,73,53,60,59,14
409,17,59,82,675000,54,54,73,21,53,61,8
410,17,59,82,675000,58,59,76,32,60,51,10
411,16,58,80,650000,40,57,70,56,45,14,9
412,17,58,81,625000,61,73,74,48,45,54,5
413,17,58,80,650000,53,62,70,54,35,23,6
414,16,58,80,650000,48,62,81,55,42,55,8
415,16,57,80,525000,41,59,64,61,34,14,12
416,16,56,81,400000,14,13,40,47,23,13,61
417,16,55,81,475000,37,32,55,47,51,50,11
